interval_start_utc,interval_end_utc,location,lmp_dam
2012-04-01 00:00:00+00:00,2012-04-01 01:00:00+00:00,HB_NORTH,17.94
2012-04-01 01:00:00+00:00,2012-04-01 02:00:00+00:00,HB_NORTH,15.38
2012-04-01 02:00:00+00:00,2012-04-01 03:00:00+00:00,HB_NORTH,14.88
2012-04-01 03:00:00+00:00,2012-04-01 04:00:00+00:00,HB_NORTH,13.26
2012-04-01 04:00:00+00:00,2012-04-01 05:00:00+00:00,HB_NORTH,13.32
2012-04-01 05:00:00+00:00,2012-04-01 06:00:00+00:00,HB_NORTH,13.7
2012-04-01 06:00:00+00:00,2012-04-01 07:00:00+00:00,HB_NORTH,13.17
2012-04-01 07:00:00+00:00,2012-04-01 08:00:00+00:00,HB_NORTH,14.18
2012-04-01 08:00:00+00:00,2012-04-01 09:00:00+00:00,HB_NORTH,16.35
2012-04-01 09:00:00+00:00,2012-04-01 10:00:00+00:00,HB_NORTH,18.12
2012-04-01 10:00:00+00:00,2012-04-01 11:00:00+00:00,HB_NORTH,20.82
2012-04-01 11:00:00+00:00,2012-04-01 12:00:00+00:00,HB_NORTH,22.31
2012-04-01 12:00:00+00:00,2012-04-01 13:00:00+00:00,HB_NORTH,23.86
2012-04-01 13:00:00+00:00,2012-04-01 14:00:00+00:00,HB_NORTH,27.4
2012-04-01 14:00:00+00:00,2012-04-01 15:00:00+00:00,HB_NORTH,32.17
2012-04-01 15:00:00+00:00,2012-04-01 16:00:00+00:00,HB_NORTH,46.91
2012-04-01 16:00:00+00:00,2012-04-01 17:00:00+00:00,HB_NORTH,59.74
2012-04-01 17:00:00+00:00,2012-04-01 18:00:00+00:00,HB_NORTH,52.41
2012-04-01 18:00:00+00:00,2012-04-01 19:00:00+00:00,HB_NORTH,32.0
2012-04-01 19:00:00+00:00,2012-04-01 20:00:00+00:00,HB_NORTH,31.7
2012-04-01 20:00:00+00:00,2012-04-01 21:00:00+00:00,HB_NORTH,30.18
2012-04-01 21:00:00+00:00,2012-04-01 22:00:00+00:00,HB_NORTH,23.98
2012-04-01 22:00:00+00:00,2012-04-01 23:00:00+00:00,HB_NORTH,22.67
2012-04-01 23:00:00+00:00,2012-04-02 00:00:00+00:00,HB_NORTH,19.42
2012-04-02 00:00:00+00:00,2012-04-02 01:00:00+00:00,HB_NORTH,16.67
2012-04-02 01:00:00+00:00,2012-04-02 02:00:00+00:00,HB_NORTH,15.06
2012-04-02 02:00:00+00:00,2012-04-02 03:00:00+00:00,HB_NORTH,13.98
2012-04-02 03:00:00+00:00,2012-04-02 04:00:00+00:00,HB_NORTH,14.04
2012-04-02 04:00:00+00:00,2012-04-02 05:00:00+00:00,HB_NORTH,14.06
2012-04-02 05:00:00+00:00,2012-04-02 06:00:00+00:00,HB_NORTH,16.66
2012-04-02 06:00:00+00:00,2012-04-02 07:00:00+00:00,HB_NORTH,20.02
