interval_start_utc,interval_end_utc,location,lmp_dam
2012-12-01 00:00:00+00:00,2012-12-01 01:00:00+00:00,HB_NORTH,20.0
2012-12-01 01:00:00+00:00,2012-12-01 02:00:00+00:00,HB_NORTH,17.71
2012-12-01 02:00:00+00:00,2012-12-01 03:00:00+00:00,HB_NORTH,16.5
2012-12-01 03:00:00+00:00,2012-12-01 04:00:00+00:00,HB_NORTH,16.48
2012-12-01 04:00:00+00:00,2012-12-01 05:00:00+00:00,HB_NORTH,16.54
2012-12-01 05:00:00+00:00,2012-12-01 06:00:00+00:00,HB_NORTH,18.19
2012-12-01 06:00:00+00:00,2012-12-01 07:00:00+00:00,HB_NORTH,19.66
2012-12-01 07:00:00+00:00,2012-12-01 08:00:00+00:00,HB_NORTH,21.0
2012-12-01 08:00:00+00:00,2012-12-01 09:00:00+00:00,HB_NORTH,24.64
2012-12-01 09:00:00+00:00,2012-12-01 10:00:00+00:00,HB_NORTH,23.94
2012-12-01 10:00:00+00:00,2012-12-01 11:00:00+00:00,HB_NORTH,27.34
2012-12-01 11:00:00+00:00,2012-12-01 12:00:00+00:00,HB_NORTH,28.11
2012-12-01 12:00:00+00:00,2012-12-01 13:00:00+00:00,HB_NORTH,28.15
2012-12-01 13:00:00+00:00,2012-12-01 14:00:00+00:00,HB_NORTH,30.0
2012-12-01 14:00:00+00:00,2012-12-01 15:00:00+00:00,HB_NORTH,28.62
2012-12-01 15:00:00+00:00,2012-12-01 16:00:00+00:00,HB_NORTH,28.5
2012-12-01 16:00:00+00:00,2012-12-01 17:00:00+00:00,HB_NORTH,30.39
2012-12-01 17:00:00+00:00,2012-12-01 18:00:00+00:00,HB_NORTH,48.29
2012-12-01 18:00:00+00:00,2012-12-01 19:00:00+00:00,HB_NORTH,46.07
2012-12-01 19:00:00+00:00,2012-12-01 20:00:00+00:00,HB_NORTH,32.51
2012-12-01 20:00:00+00:00,2012-12-01 21:00:00+00:00,HB_NORTH,28.5
2012-12-01 21:00:00+00:00,2012-12-01 22:00:00+00:00,HB_NORTH,27.48
2012-12-01 22:00:00+00:00,2012-12-01 23:00:00+00:00,HB_NORTH,25.71
2012-12-01 23:00:00+00:00,2012-12-02 00:00:00+00:00,HB_NORTH,22.2
2012-12-02 00:00:00+00:00,2012-12-02 01:00:00+00:00,HB_NORTH,21.15
2012-12-02 01:00:00+00:00,2012-12-02 02:00:00+00:00,HB_NORTH,17.87
2012-12-02 02:00:00+00:00,2012-12-02 03:00:00+00:00,HB_NORTH,16.17
2012-12-02 03:00:00+00:00,2012-12-02 04:00:00+00:00,HB_NORTH,16.12
2012-12-02 04:00:00+00:00,2012-12-02 05:00:00+00:00,HB_NORTH,15.99
2012-12-02 05:00:00+00:00,2012-12-02 06:00:00+00:00,HB_NORTH,18.33
2012-12-02 06:00:00+00:00,2012-12-02 07:00:00+00:00,HB_NORTH,21.25
2012-12-02 07:00:00+00:00,2012-12-02 08:00:00+00:00,HB_NORTH,21.6
2012-12-02 08:00:00+00:00,2012-12-02 09:00:00+00:00,HB_NORTH,23.18
2012-12-02 09:00:00+00:00,2012-12-02 10:00:00+00:00,HB_NORTH,24.5
2012-12-02 10:00:00+00:00,2012-12-02 11:00:00+00:00,HB_NORTH,26.15
2012-12-02 11:00:00+00:00,2012-12-02 12:00:00+00:00,HB_NORTH,26.0
2012-12-02 12:00:00+00:00,2012-12-02 13:00:00+00:00,HB_NORTH,26.56
2012-12-02 13:00:00+00:00,2012-12-02 14:00:00+00:00,HB_NORTH,27.53
2012-12-02 14:00:00+00:00,2012-12-02 15:00:00+00:00,HB_NORTH,28.24
2012-12-02 15:00:00+00:00,2012-12-02 16:00:00+00:00,HB_NORTH,29.09
2012-12-02 16:00:00+00:00,2012-12-02 17:00:00+00:00,HB_NORTH,29.1
2012-12-02 17:00:00+00:00,2012-12-02 18:00:00+00:00,HB_NORTH,47.56
2012-12-02 18:00:00+00:00,2012-12-02 19:00:00+00:00,HB_NORTH,42.18
2012-12-02 19:00:00+00:00,2012-12-02 20:00:00+00:00,HB_NORTH,33.0
2012-12-02 20:00:00+00:00,2012-12-02 21:00:00+00:00,HB_NORTH,27.26
2012-12-02 21:00:00+00:00,2012-12-02 22:00:00+00:00,HB_NORTH,27.23
2012-12-02 22:00:00+00:00,2012-12-02 23:00:00+00:00,HB_NORTH,25.24
2012-12-02 23:00:00+00:00,2012-12-03 00:00:00+00:00,HB_NORTH,20.11
2012-12-03 00:00:00+00:00,2012-12-03 01:00:00+00:00,HB_NORTH,18.08
2012-12-03 01:00:00+00:00,2012-12-03 02:00:00+00:00,HB_NORTH,16.68
2012-12-03 02:00:00+00:00,2012-12-03 03:00:00+00:00,HB_NORTH,16.12
2012-12-03 03:00:00+00:00,2012-12-03 04:00:00+00:00,HB_NORTH,16.1
2012-12-03 04:00:00+00:00,2012-12-03 05:00:00+00:00,HB_NORTH,17.05
2012-12-03 05:00:00+00:00,2012-12-03 06:00:00+00:00,HB_NORTH,19.22
2012-12-03 06:00:00+00:00,2012-12-03 07:00:00+00:00,HB_NORTH,26.13
2012-12-03 07:00:00+00:00,2012-12-03 08:00:00+00:00,HB_NORTH,25.92
2012-12-03 08:00:00+00:00,2012-12-03 09:00:00+00:00,HB_NORTH,25.41
2012-12-03 09:00:00+00:00,2012-12-03 10:00:00+00:00,HB_NORTH,26.64
2012-12-03 10:00:00+00:00,2012-12-03 11:00:00+00:00,HB_NORTH,29.0
2012-12-03 11:00:00+00:00,2012-12-03 12:00:00+00:00,HB_NORTH,29.78
2012-12-03 12:00:00+00:00,2012-12-03 13:00:00+00:00,HB_NORTH,30.0
2012-12-03 13:00:00+00:00,2012-12-03 14:00:00+00:00,HB_NORTH,31.93
2012-12-03 14:00:00+00:00,2012-12-03 15:00:00+00:00,HB_NORTH,32.84
2012-12-03 15:00:00+00:00,2012-12-03 16:00:00+00:00,HB_NORTH,33.1
2012-12-03 16:00:00+00:00,2012-12-03 17:00:00+00:00,HB_NORTH,34.51
2012-12-03 17:00:00+00:00,2012-12-03 18:00:00+00:00,HB_NORTH,47.04
2012-12-03 18:00:00+00:00,2012-12-03 19:00:00+00:00,HB_NORTH,41.59
2012-12-03 19:00:00+00:00,2012-12-03 20:00:00+00:00,HB_NORTH,33.1
2012-12-03 20:00:00+00:00,2012-12-03 21:00:00+00:00,HB_NORTH,30.86
2012-12-03 21:00:00+00:00,2012-12-03 22:00:00+00:00,HB_NORTH,27.45
2012-12-03 22:00:00+00:00,2012-12-03 23:00:00+00:00,HB_NORTH,26.15
2012-12-03 23:00:00+00:00,2012-12-04 00:00:00+00:00,HB_NORTH,24.66
2012-12-04 00:00:00+00:00,2012-12-04 01:00:00+00:00,HB_NORTH,22.08
2012-12-04 01:00:00+00:00,2012-12-04 02:00:00+00:00,HB_NORTH,20.94
2012-12-04 02:00:00+00:00,2012-12-04 03:00:00+00:00,HB_NORTH,20.2
2012-12-04 03:00:00+00:00,2012-12-04 04:00:00+00:00,HB_NORTH,20.2
2012-12-04 04:00:00+00:00,2012-12-04 05:00:00+00:00,HB_NORTH,20.75
2012-12-04 05:00:00+00:00,2012-12-04 06:00:00+00:00,HB_NORTH,22.08
2012-12-04 06:00:00+00:00,2012-12-04 07:00:00+00:00,HB_NORTH,31.47
2012-12-04 07:00:00+00:00,2012-12-04 08:00:00+00:00,HB_NORTH,30.33
2012-12-04 08:00:00+00:00,2012-12-04 09:00:00+00:00,HB_NORTH,28.88
2012-12-04 09:00:00+00:00,2012-12-04 10:00:00+00:00,HB_NORTH,30.44
2012-12-04 10:00:00+00:00,2012-12-04 11:00:00+00:00,HB_NORTH,29.47
2012-12-04 11:00:00+00:00,2012-12-04 12:00:00+00:00,HB_NORTH,29.35
2012-12-04 12:00:00+00:00,2012-12-04 13:00:00+00:00,HB_NORTH,28.58
2012-12-04 13:00:00+00:00,2012-12-04 14:00:00+00:00,HB_NORTH,28.31
2012-12-04 14:00:00+00:00,2012-12-04 15:00:00+00:00,HB_NORTH,29.19
2012-12-04 15:00:00+00:00,2012-12-04 16:00:00+00:00,HB_NORTH,29.45
2012-12-04 16:00:00+00:00,2012-12-04 17:00:00+00:00,HB_NORTH,29.0
2012-12-04 17:00:00+00:00,2012-12-04 18:00:00+00:00,HB_NORTH,40.8
2012-12-04 18:00:00+00:00,2012-12-04 19:00:00+00:00,HB_NORTH,42.01
2012-12-04 19:00:00+00:00,2012-12-04 20:00:00+00:00,HB_NORTH,33.2
2012-12-04 20:00:00+00:00,2012-12-04 21:00:00+00:00,HB_NORTH,28.0
2012-12-04 21:00:00+00:00,2012-12-04 22:00:00+00:00,HB_NORTH,27.46
2012-12-04 22:00:00+00:00,2012-12-04 23:00:00+00:00,HB_NORTH,26.24
2012-12-04 23:00:00+00:00,2012-12-05 00:00:00+00:00,HB_NORTH,25.2
2012-12-05 00:00:00+00:00,2012-12-05 01:00:00+00:00,HB_NORTH,24.86
2012-12-05 01:00:00+00:00,2012-12-05 02:00:00+00:00,HB_NORTH,23.01
2012-12-05 02:00:00+00:00,2012-12-05 03:00:00+00:00,HB_NORTH,21.62
2012-12-05 03:00:00+00:00,2012-12-05 04:00:00+00:00,HB_NORTH,22.9
2012-12-05 04:00:00+00:00,2012-12-05 05:00:00+00:00,HB_NORTH,24.94
2012-12-05 05:00:00+00:00,2012-12-05 06:00:00+00:00,HB_NORTH,30.24
2012-12-05 06:00:00+00:00,2012-12-05 07:00:00+00:00,HB_NORTH,35.68
2012-12-05 07:00:00+00:00,2012-12-05 08:00:00+00:00,HB_NORTH,31.34
2012-12-05 08:00:00+00:00,2012-12-05 09:00:00+00:00,HB_NORTH,28.32
2012-12-05 09:00:00+00:00,2012-12-05 10:00:00+00:00,HB_NORTH,28.66
2012-12-05 10:00:00+00:00,2012-12-05 11:00:00+00:00,HB_NORTH,28.9
2012-12-05 11:00:00+00:00,2012-12-05 12:00:00+00:00,HB_NORTH,29.35
2012-12-05 12:00:00+00:00,2012-12-05 13:00:00+00:00,HB_NORTH,27.0
2012-12-05 13:00:00+00:00,2012-12-05 14:00:00+00:00,HB_NORTH,27.65
2012-12-05 14:00:00+00:00,2012-12-05 15:00:00+00:00,HB_NORTH,28.12
2012-12-05 15:00:00+00:00,2012-12-05 16:00:00+00:00,HB_NORTH,28.17
2012-12-05 16:00:00+00:00,2012-12-05 17:00:00+00:00,HB_NORTH,26.27
2012-12-05 17:00:00+00:00,2012-12-05 18:00:00+00:00,HB_NORTH,35.0
2012-12-05 18:00:00+00:00,2012-12-05 19:00:00+00:00,HB_NORTH,40.36
2012-12-05 19:00:00+00:00,2012-12-05 20:00:00+00:00,HB_NORTH,30.93
2012-12-05 20:00:00+00:00,2012-12-05 21:00:00+00:00,HB_NORTH,26.98
2012-12-05 21:00:00+00:00,2012-12-05 22:00:00+00:00,HB_NORTH,25.38
