interval_start_utc,interval_end_utc,location,lmp_dam
2012-02-01 00:00:00+00:00,2012-02-01 01:00:00+00:00,HB_NORTH,15.7
2012-02-01 01:00:00+00:00,2012-02-01 02:00:00+00:00,HB_NORTH,15.2
2012-02-01 02:00:00+00:00,2012-02-01 03:00:00+00:00,HB_NORTH,15.24
2012-02-01 03:00:00+00:00,2012-02-01 04:00:00+00:00,HB_NORTH,15.32
2012-02-01 04:00:00+00:00,2012-02-01 05:00:00+00:00,HB_NORTH,15.62
2012-02-01 05:00:00+00:00,2012-02-01 06:00:00+00:00,HB_NORTH,18.01
2012-02-01 06:00:00+00:00,2012-02-01 07:00:00+00:00,HB_NORTH,23.66
2012-02-01 07:00:00+00:00,2012-02-01 08:00:00+00:00,HB_NORTH,24.22
2012-02-01 08:00:00+00:00,2012-02-01 09:00:00+00:00,HB_NORTH,23.0
2012-02-01 09:00:00+00:00,2012-02-01 10:00:00+00:00,HB_NORTH,23.0
2012-02-01 10:00:00+00:00,2012-02-01 11:00:00+00:00,HB_NORTH,24.22
2012-02-01 11:00:00+00:00,2012-02-01 12:00:00+00:00,HB_NORTH,23.76
2012-02-01 12:00:00+00:00,2012-02-01 13:00:00+00:00,HB_NORTH,22.9
2012-02-01 13:00:00+00:00,2012-02-01 14:00:00+00:00,HB_NORTH,22.92
2012-02-01 14:00:00+00:00,2012-02-01 15:00:00+00:00,HB_NORTH,22.87
2012-02-01 15:00:00+00:00,2012-02-01 16:00:00+00:00,HB_NORTH,22.9
2012-02-01 16:00:00+00:00,2012-02-01 17:00:00+00:00,HB_NORTH,23.18
2012-02-01 17:00:00+00:00,2012-02-01 18:00:00+00:00,HB_NORTH,30.14
2012-02-01 18:00:00+00:00,2012-02-01 19:00:00+00:00,HB_NORTH,36.31
2012-02-01 19:00:00+00:00,2012-02-01 20:00:00+00:00,HB_NORTH,27.45
2012-02-01 20:00:00+00:00,2012-02-01 21:00:00+00:00,HB_NORTH,23.67
2012-02-01 21:00:00+00:00,2012-02-01 22:00:00+00:00,HB_NORTH,22.14
2012-02-01 22:00:00+00:00,2012-02-01 23:00:00+00:00,HB_NORTH,19.75
2012-02-01 23:00:00+00:00,2012-02-02 00:00:00+00:00,HB_NORTH,19.12
2012-02-02 00:00:00+00:00,2012-02-02 01:00:00+00:00,HB_NORTH,15.63
2012-02-02 01:00:00+00:00,2012-02-02 02:00:00+00:00,HB_NORTH,14.94
2012-02-02 02:00:00+00:00,2012-02-02 03:00:00+00:00,HB_NORTH,14.97
2012-02-02 03:00:00+00:00,2012-02-02 04:00:00+00:00,HB_NORTH,14.92
2012-02-02 04:00:00+00:00,2012-02-02 05:00:00+00:00,HB_NORTH,15.55
2012-02-02 05:00:00+00:00,2012-02-02 06:00:00+00:00,HB_NORTH,17.13
2012-02-02 06:00:00+00:00,2012-02-02 07:00:00+00:00,HB_NORTH,21.88
2012-02-02 07:00:00+00:00,2012-02-02 08:00:00+00:00,HB_NORTH,24.58
2012-02-02 08:00:00+00:00,2012-02-02 09:00:00+00:00,HB_NORTH,21.7
2012-02-02 09:00:00+00:00,2012-02-02 10:00:00+00:00,HB_NORTH,20.79
2012-02-02 10:00:00+00:00,2012-02-02 11:00:00+00:00,HB_NORTH,21.57
2012-02-02 11:00:00+00:00,2012-02-02 12:00:00+00:00,HB_NORTH,20.76
2012-02-02 12:00:00+00:00,2012-02-02 13:00:00+00:00,HB_NORTH,19.85
2012-02-02 13:00:00+00:00,2012-02-02 14:00:00+00:00,HB_NORTH,19.61
2012-02-02 14:00:00+00:00,2012-02-02 15:00:00+00:00,HB_NORTH,19.72
2012-02-02 15:00:00+00:00,2012-02-02 16:00:00+00:00,HB_NORTH,19.73
2012-02-02 16:00:00+00:00,2012-02-02 17:00:00+00:00,HB_NORTH,20.0
2012-02-02 17:00:00+00:00,2012-02-02 18:00:00+00:00,HB_NORTH,22.36
2012-02-02 18:00:00+00:00,2012-02-02 19:00:00+00:00,HB_NORTH,27.18
2012-02-02 19:00:00+00:00,2012-02-02 20:00:00+00:00,HB_NORTH,21.71
2012-02-02 20:00:00+00:00,2012-02-02 21:00:00+00:00,HB_NORTH,21.34
2012-02-02 21:00:00+00:00,2012-02-02 22:00:00+00:00,HB_NORTH,19.1
2012-02-02 22:00:00+00:00,2012-02-02 23:00:00+00:00,HB_NORTH,17.42
2012-02-02 23:00:00+00:00,2012-02-03 00:00:00+00:00,HB_NORTH,16.08
2012-02-03 00:00:00+00:00,2012-02-03 01:00:00+00:00,HB_NORTH,15.18
2012-02-03 01:00:00+00:00,2012-02-03 02:00:00+00:00,HB_NORTH,13.85
2012-02-03 02:00:00+00:00,2012-02-03 03:00:00+00:00,HB_NORTH,13.72
2012-02-03 03:00:00+00:00,2012-02-03 04:00:00+00:00,HB_NORTH,14.0
2012-02-03 04:00:00+00:00,2012-02-03 05:00:00+00:00,HB_NORTH,14.2
2012-02-03 05:00:00+00:00,2012-02-03 06:00:00+00:00,HB_NORTH,16.0
2012-02-03 06:00:00+00:00,2012-02-03 07:00:00+00:00,HB_NORTH,18.99
2012-02-03 07:00:00+00:00,2012-02-03 08:00:00+00:00,HB_NORTH,21.39
2012-02-03 08:00:00+00:00,2012-02-03 09:00:00+00:00,HB_NORTH,20.05
2012-02-03 09:00:00+00:00,2012-02-03 10:00:00+00:00,HB_NORTH,21.03
2012-02-03 10:00:00+00:00,2012-02-03 11:00:00+00:00,HB_NORTH,22.37
2012-02-03 11:00:00+00:00,2012-02-03 12:00:00+00:00,HB_NORTH,21.95
2012-02-03 12:00:00+00:00,2012-02-03 13:00:00+00:00,HB_NORTH,21.59
2012-02-03 13:00:00+00:00,2012-02-03 14:00:00+00:00,HB_NORTH,21.39
2012-02-03 14:00:00+00:00,2012-02-03 15:00:00+00:00,HB_NORTH,21.44
2012-02-03 15:00:00+00:00,2012-02-03 16:00:00+00:00,HB_NORTH,21.0
2012-02-03 16:00:00+00:00,2012-02-03 17:00:00+00:00,HB_NORTH,21.04
2012-02-03 17:00:00+00:00,2012-02-03 18:00:00+00:00,HB_NORTH,24.19
2012-02-03 18:00:00+00:00,2012-02-03 19:00:00+00:00,HB_NORTH,30.19
2012-02-03 19:00:00+00:00,2012-02-03 20:00:00+00:00,HB_NORTH,22.28
2012-02-03 20:00:00+00:00,2012-02-03 21:00:00+00:00,HB_NORTH,21.44
2012-02-03 21:00:00+00:00,2012-02-03 22:00:00+00:00,HB_NORTH,19.86
2012-02-03 22:00:00+00:00,2012-02-03 23:00:00+00:00,HB_NORTH,18.2
2012-02-03 23:00:00+00:00,2012-02-04 00:00:00+00:00,HB_NORTH,17.0
2012-02-04 00:00:00+00:00,2012-02-04 01:00:00+00:00,HB_NORTH,15.52
2012-02-04 01:00:00+00:00,2012-02-04 02:00:00+00:00,HB_NORTH,14.43
2012-02-04 02:00:00+00:00,2012-02-04 03:00:00+00:00,HB_NORTH,13.81
2012-02-04 03:00:00+00:00,2012-02-04 04:00:00+00:00,HB_NORTH,13.85
2012-02-04 04:00:00+00:00,2012-02-04 05:00:00+00:00,HB_NORTH,14.0
2012-02-04 05:00:00+00:00,2012-02-04 06:00:00+00:00,HB_NORTH,15.0
2012-02-04 06:00:00+00:00,2012-02-04 07:00:00+00:00,HB_NORTH,17.07
2012-02-04 07:00:00+00:00,2012-02-04 08:00:00+00:00,HB_NORTH,19.0
2012-02-04 08:00:00+00:00,2012-02-04 09:00:00+00:00,HB_NORTH,22.05
