interval_start_utc,interval_end_utc,location,lmp_dam
2012-01-01 00:00:00+00:00,2012-01-01 01:00:00+00:00,HB_NORTH,18.49
2012-01-01 01:00:00+00:00,2012-01-01 02:00:00+00:00,HB_NORTH,17.2
2012-01-01 02:00:00+00:00,2012-01-01 03:00:00+00:00,HB_NORTH,18.21
2012-01-01 03:00:00+00:00,2012-01-01 04:00:00+00:00,HB_NORTH,18.53
2012-01-01 04:00:00+00:00,2012-01-01 05:00:00+00:00,HB_NORTH,18.85
2012-01-01 05:00:00+00:00,2012-01-01 06:00:00+00:00,HB_NORTH,19.84
2012-01-01 06:00:00+00:00,2012-01-01 07:00:00+00:00,HB_NORTH,21.39
2012-01-01 07:00:00+00:00,2012-01-01 08:00:00+00:00,HB_NORTH,21.95
2012-01-01 08:00:00+00:00,2012-01-01 09:00:00+00:00,HB_NORTH,22.66
2012-01-01 09:00:00+00:00,2012-01-01 10:00:00+00:00,HB_NORTH,23.29
2012-01-01 10:00:00+00:00,2012-01-01 11:00:00+00:00,HB_NORTH,22.15
2012-01-01 11:00:00+00:00,2012-01-01 12:00:00+00:00,HB_NORTH,22.14
2012-01-01 12:00:00+00:00,2012-01-01 13:00:00+00:00,HB_NORTH,22.0
2012-01-01 13:00:00+00:00,2012-01-01 14:00:00+00:00,HB_NORTH,21.15
2012-01-01 14:00:00+00:00,2012-01-01 15:00:00+00:00,HB_NORTH,20.99
2012-01-01 15:00:00+00:00,2012-01-01 16:00:00+00:00,HB_NORTH,21.03
2012-01-01 16:00:00+00:00,2012-01-01 17:00:00+00:00,HB_NORTH,21.44
2012-01-01 17:00:00+00:00,2012-01-01 18:00:00+00:00,HB_NORTH,25.0
2012-01-01 18:00:00+00:00,2012-01-01 19:00:00+00:00,HB_NORTH,31.49
2012-01-01 19:00:00+00:00,2012-01-01 20:00:00+00:00,HB_NORTH,27.33
2012-01-01 20:00:00+00:00,2012-01-01 21:00:00+00:00,HB_NORTH,26.0
2012-01-01 21:00:00+00:00,2012-01-01 22:00:00+00:00,HB_NORTH,24.59
2012-01-01 22:00:00+00:00,2012-01-01 23:00:00+00:00,HB_NORTH,23.06
2012-01-01 23:00:00+00:00,2012-01-02 00:00:00+00:00,HB_NORTH,21.49
2012-01-02 00:00:00+00:00,2012-01-02 01:00:00+00:00,HB_NORTH,21.15
2012-01-02 01:00:00+00:00,2012-01-02 02:00:00+00:00,HB_NORTH,20.63
2012-01-02 02:00:00+00:00,2012-01-02 03:00:00+00:00,HB_NORTH,20.23
