interval_start_utc,interval_end_utc,location,lmp_dam
2012-07-01 00:00:00+00:00,2012-07-01 01:00:00+00:00,HB_NORTH,18.81
2012-07-01 01:00:00+00:00,2012-07-01 02:00:00+00:00,HB_NORTH,16.17
2012-07-01 02:00:00+00:00,2012-07-01 03:00:00+00:00,HB_NORTH,14.97
2012-07-01 03:00:00+00:00,2012-07-01 04:00:00+00:00,HB_NORTH,14.25
2012-07-01 04:00:00+00:00,2012-07-01 05:00:00+00:00,HB_NORTH,13.93
2012-07-01 05:00:00+00:00,2012-07-01 06:00:00+00:00,HB_NORTH,15.25
2012-07-01 06:00:00+00:00,2012-07-01 07:00:00+00:00,HB_NORTH,17.65
2012-07-01 07:00:00+00:00,2012-07-01 08:00:00+00:00,HB_NORTH,18.5
2012-07-01 08:00:00+00:00,2012-07-01 09:00:00+00:00,HB_NORTH,19.55
2012-07-01 09:00:00+00:00,2012-07-01 10:00:00+00:00,HB_NORTH,21.0
2012-07-01 10:00:00+00:00,2012-07-01 11:00:00+00:00,HB_NORTH,22.28
2012-07-01 11:00:00+00:00,2012-07-01 12:00:00+00:00,HB_NORTH,24.46
2012-07-01 12:00:00+00:00,2012-07-01 13:00:00+00:00,HB_NORTH,26.73
2012-07-01 13:00:00+00:00,2012-07-01 14:00:00+00:00,HB_NORTH,30.42
2012-07-01 14:00:00+00:00,2012-07-01 15:00:00+00:00,HB_NORTH,33.5
2012-07-01 15:00:00+00:00,2012-07-01 16:00:00+00:00,HB_NORTH,38.18
2012-07-01 16:00:00+00:00,2012-07-01 17:00:00+00:00,HB_NORTH,45.22
2012-07-01 17:00:00+00:00,2012-07-01 18:00:00+00:00,HB_NORTH,36.7
2012-07-01 18:00:00+00:00,2012-07-01 19:00:00+00:00,HB_NORTH,30.48
2012-07-01 19:00:00+00:00,2012-07-01 20:00:00+00:00,HB_NORTH,28.29
2012-07-01 20:00:00+00:00,2012-07-01 21:00:00+00:00,HB_NORTH,25.28
2012-07-01 21:00:00+00:00,2012-07-01 22:00:00+00:00,HB_NORTH,26.56
2012-07-01 22:00:00+00:00,2012-07-01 23:00:00+00:00,HB_NORTH,21.5
2012-07-01 23:00:00+00:00,2012-07-02 00:00:00+00:00,HB_NORTH,20.08
2012-07-02 00:00:00+00:00,2012-07-02 01:00:00+00:00,HB_NORTH,17.97
2012-07-02 01:00:00+00:00,2012-07-02 02:00:00+00:00,HB_NORTH,16.32
2012-07-02 02:00:00+00:00,2012-07-02 03:00:00+00:00,HB_NORTH,15.32
2012-07-02 03:00:00+00:00,2012-07-02 04:00:00+00:00,HB_NORTH,14.02
2012-07-02 04:00:00+00:00,2012-07-02 05:00:00+00:00,HB_NORTH,13.72
2012-07-02 05:00:00+00:00,2012-07-02 06:00:00+00:00,HB_NORTH,15.3
2012-07-02 06:00:00+00:00,2012-07-02 07:00:00+00:00,HB_NORTH,18.65
2012-07-02 07:00:00+00:00,2012-07-02 08:00:00+00:00,HB_NORTH,19.43
2012-07-02 08:00:00+00:00,2012-07-02 09:00:00+00:00,HB_NORTH,21.66
2012-07-02 09:00:00+00:00,2012-07-02 10:00:00+00:00,HB_NORTH,21.69
2012-07-02 10:00:00+00:00,2012-07-02 11:00:00+00:00,HB_NORTH,22.64
2012-07-02 11:00:00+00:00,2012-07-02 12:00:00+00:00,HB_NORTH,25.38
2012-07-02 12:00:00+00:00,2012-07-02 13:00:00+00:00,HB_NORTH,27.86
2012-07-02 13:00:00+00:00,2012-07-02 14:00:00+00:00,HB_NORTH,32.82
2012-07-02 14:00:00+00:00,2012-07-02 15:00:00+00:00,HB_NORTH,33.0
2012-07-02 15:00:00+00:00,2012-07-02 16:00:00+00:00,HB_NORTH,37.2
2012-07-02 16:00:00+00:00,2012-07-02 17:00:00+00:00,HB_NORTH,47.16
2012-07-02 17:00:00+00:00,2012-07-02 18:00:00+00:00,HB_NORTH,33.0
2012-07-02 18:00:00+00:00,2012-07-02 19:00:00+00:00,HB_NORTH,28.24
2012-07-02 19:00:00+00:00,2012-07-02 20:00:00+00:00,HB_NORTH,27.15
2012-07-02 20:00:00+00:00,2012-07-02 21:00:00+00:00,HB_NORTH,24.87
2012-07-02 21:00:00+00:00,2012-07-02 22:00:00+00:00,HB_NORTH,24.04
2012-07-02 22:00:00+00:00,2012-07-02 23:00:00+00:00,HB_NORTH,20.94
2012-07-02 23:00:00+00:00,2012-07-03 00:00:00+00:00,HB_NORTH,20.04
2012-07-03 00:00:00+00:00,2012-07-03 01:00:00+00:00,HB_NORTH,18.01
2012-07-03 01:00:00+00:00,2012-07-03 02:00:00+00:00,HB_NORTH,16.0
2012-07-03 02:00:00+00:00,2012-07-03 03:00:00+00:00,HB_NORTH,15.16
2012-07-03 03:00:00+00:00,2012-07-03 04:00:00+00:00,HB_NORTH,14.88
2012-07-03 04:00:00+00:00,2012-07-03 05:00:00+00:00,HB_NORTH,14.94
2012-07-03 05:00:00+00:00,2012-07-03 06:00:00+00:00,HB_NORTH,15.39
