interval_start_utc,interval_end_utc,location,lmp_dam
2012-06-01 00:00:00+00:00,2012-06-01 01:00:00+00:00,HB_NORTH,16.37
2012-06-01 01:00:00+00:00,2012-06-01 02:00:00+00:00,HB_NORTH,13.32
2012-06-01 02:00:00+00:00,2012-06-01 03:00:00+00:00,HB_NORTH,12.12
2012-06-01 03:00:00+00:00,2012-06-01 04:00:00+00:00,HB_NORTH,11.54
2012-06-01 04:00:00+00:00,2012-06-01 05:00:00+00:00,HB_NORTH,11.76
2012-06-01 05:00:00+00:00,2012-06-01 06:00:00+00:00,HB_NORTH,15.0
2012-06-01 06:00:00+00:00,2012-06-01 07:00:00+00:00,HB_NORTH,17.06
2012-06-01 07:00:00+00:00,2012-06-01 08:00:00+00:00,HB_NORTH,17.01
2012-06-01 08:00:00+00:00,2012-06-01 09:00:00+00:00,HB_NORTH,18.85
2012-06-01 09:00:00+00:00,2012-06-01 10:00:00+00:00,HB_NORTH,18.85
2012-06-01 10:00:00+00:00,2012-06-01 11:00:00+00:00,HB_NORTH,18.19
2012-06-01 11:00:00+00:00,2012-06-01 12:00:00+00:00,HB_NORTH,18.85
2012-06-01 12:00:00+00:00,2012-06-01 13:00:00+00:00,HB_NORTH,20.76
2012-06-01 13:00:00+00:00,2012-06-01 14:00:00+00:00,HB_NORTH,22.24
2012-06-01 14:00:00+00:00,2012-06-01 15:00:00+00:00,HB_NORTH,25.0
2012-06-01 15:00:00+00:00,2012-06-01 16:00:00+00:00,HB_NORTH,29.0
2012-06-01 16:00:00+00:00,2012-06-01 17:00:00+00:00,HB_NORTH,38.55
2012-06-01 17:00:00+00:00,2012-06-01 18:00:00+00:00,HB_NORTH,27.79
2012-06-01 18:00:00+00:00,2012-06-01 19:00:00+00:00,HB_NORTH,22.34
2012-06-01 19:00:00+00:00,2012-06-01 20:00:00+00:00,HB_NORTH,19.68
2012-06-01 20:00:00+00:00,2012-06-01 21:00:00+00:00,HB_NORTH,18.71
2012-06-01 21:00:00+00:00,2012-06-01 22:00:00+00:00,HB_NORTH,19.16
2012-06-01 22:00:00+00:00,2012-06-01 23:00:00+00:00,HB_NORTH,18.0
2012-06-01 23:00:00+00:00,2012-06-02 00:00:00+00:00,HB_NORTH,16.09
2012-06-02 00:00:00+00:00,2012-06-02 01:00:00+00:00,HB_NORTH,16.07
2012-06-02 01:00:00+00:00,2012-06-02 02:00:00+00:00,HB_NORTH,12.81
2012-06-02 02:00:00+00:00,2012-06-02 03:00:00+00:00,HB_NORTH,11.7
2012-06-02 03:00:00+00:00,2012-06-02 04:00:00+00:00,HB_NORTH,10.93
2012-06-02 04:00:00+00:00,2012-06-02 05:00:00+00:00,HB_NORTH,10.72
2012-06-02 05:00:00+00:00,2012-06-02 06:00:00+00:00,HB_NORTH,13.09
2012-06-02 06:00:00+00:00,2012-06-02 07:00:00+00:00,HB_NORTH,15.0
2012-06-02 07:00:00+00:00,2012-06-02 08:00:00+00:00,HB_NORTH,15.0
2012-06-02 08:00:00+00:00,2012-06-02 09:00:00+00:00,HB_NORTH,16.0
2012-06-02 09:00:00+00:00,2012-06-02 10:00:00+00:00,HB_NORTH,17.0
2012-06-02 10:00:00+00:00,2012-06-02 11:00:00+00:00,HB_NORTH,17.71
2012-06-02 11:00:00+00:00,2012-06-02 12:00:00+00:00,HB_NORTH,17.99
2012-06-02 12:00:00+00:00,2012-06-02 13:00:00+00:00,HB_NORTH,21.83
2012-06-02 13:00:00+00:00,2012-06-02 14:00:00+00:00,HB_NORTH,24.07
2012-06-02 14:00:00+00:00,2012-06-02 15:00:00+00:00,HB_NORTH,28.0
2012-06-02 15:00:00+00:00,2012-06-02 16:00:00+00:00,HB_NORTH,36.86
2012-06-02 16:00:00+00:00,2012-06-02 17:00:00+00:00,HB_NORTH,42.14
