interval_start_utc,interval_end_utc,location,lmp_dam
2012-03-01 00:00:00+00:00,2012-03-01 01:00:00+00:00,HB_NORTH,15.8
2012-03-01 01:00:00+00:00,2012-03-01 02:00:00+00:00,HB_NORTH,14.1
2012-03-01 02:00:00+00:00,2012-03-01 03:00:00+00:00,HB_NORTH,13.6
2012-03-01 03:00:00+00:00,2012-03-01 04:00:00+00:00,HB_NORTH,13.95
2012-03-01 04:00:00+00:00,2012-03-01 05:00:00+00:00,HB_NORTH,14.28
2012-03-01 05:00:00+00:00,2012-03-01 06:00:00+00:00,HB_NORTH,16.76
2012-03-01 06:00:00+00:00,2012-03-01 07:00:00+00:00,HB_NORTH,22.09
2012-03-01 07:00:00+00:00,2012-03-01 08:00:00+00:00,HB_NORTH,21.61
2012-03-01 08:00:00+00:00,2012-03-01 09:00:00+00:00,HB_NORTH,20.89
2012-03-01 09:00:00+00:00,2012-03-01 10:00:00+00:00,HB_NORTH,22.09
2012-03-01 10:00:00+00:00,2012-03-01 11:00:00+00:00,HB_NORTH,23.95
2012-03-01 11:00:00+00:00,2012-03-01 12:00:00+00:00,HB_NORTH,24.98
2012-03-01 12:00:00+00:00,2012-03-01 13:00:00+00:00,HB_NORTH,26.55
2012-03-01 13:00:00+00:00,2012-03-01 14:00:00+00:00,HB_NORTH,28.61
2012-03-01 14:00:00+00:00,2012-03-01 15:00:00+00:00,HB_NORTH,29.48
2012-03-01 15:00:00+00:00,2012-03-01 16:00:00+00:00,HB_NORTH,29.38
2012-03-01 16:00:00+00:00,2012-03-01 17:00:00+00:00,HB_NORTH,27.28
2012-03-01 17:00:00+00:00,2012-03-01 18:00:00+00:00,HB_NORTH,27.92
2012-03-01 18:00:00+00:00,2012-03-01 19:00:00+00:00,HB_NORTH,37.19
2012-03-01 19:00:00+00:00,2012-03-01 20:00:00+00:00,HB_NORTH,30.11
2012-03-01 20:00:00+00:00,2012-03-01 21:00:00+00:00,HB_NORTH,24.55
2012-03-01 21:00:00+00:00,2012-03-01 22:00:00+00:00,HB_NORTH,23.05
2012-03-01 22:00:00+00:00,2012-03-01 23:00:00+00:00,HB_NORTH,20.93
2012-03-01 23:00:00+00:00,2012-03-02 00:00:00+00:00,HB_NORTH,18.57
2012-03-02 00:00:00+00:00,2012-03-02 01:00:00+00:00,HB_NORTH,15.74
2012-03-02 01:00:00+00:00,2012-03-02 02:00:00+00:00,HB_NORTH,14.03
2012-03-02 02:00:00+00:00,2012-03-02 03:00:00+00:00,HB_NORTH,14.17
2012-03-02 03:00:00+00:00,2012-03-02 04:00:00+00:00,HB_NORTH,14.13
2012-03-02 04:00:00+00:00,2012-03-02 05:00:00+00:00,HB_NORTH,14.63
2012-03-02 05:00:00+00:00,2012-03-02 06:00:00+00:00,HB_NORTH,17.45
2012-03-02 06:00:00+00:00,2012-03-02 07:00:00+00:00,HB_NORTH,22.49
2012-03-02 07:00:00+00:00,2012-03-02 08:00:00+00:00,HB_NORTH,21.93
