interval_start_utc,interval_end_utc,location,lmp_dam
2012-05-01 00:00:00+00:00,2012-05-01 01:00:00+00:00,HB_NORTH,15.48
2012-05-01 01:00:00+00:00,2012-05-01 02:00:00+00:00,HB_NORTH,13.83
2012-05-01 02:00:00+00:00,2012-05-01 03:00:00+00:00,HB_NORTH,13.47
2012-05-01 03:00:00+00:00,2012-05-01 04:00:00+00:00,HB_NORTH,12.98
2012-05-01 04:00:00+00:00,2012-05-01 05:00:00+00:00,HB_NORTH,8.9
2012-05-01 05:00:00+00:00,2012-05-01 06:00:00+00:00,HB_NORTH,13.85
2012-05-01 06:00:00+00:00,2012-05-01 07:00:00+00:00,HB_NORTH,15.85
2012-05-01 07:00:00+00:00,2012-05-01 08:00:00+00:00,HB_NORTH,16.07
2012-05-01 08:00:00+00:00,2012-05-01 09:00:00+00:00,HB_NORTH,16.43
2012-05-01 09:00:00+00:00,2012-05-01 10:00:00+00:00,HB_NORTH,18.5
2012-05-01 10:00:00+00:00,2012-05-01 11:00:00+00:00,HB_NORTH,18.7
2012-05-01 11:00:00+00:00,2012-05-01 12:00:00+00:00,HB_NORTH,19.4
2012-05-01 12:00:00+00:00,2012-05-01 13:00:00+00:00,HB_NORTH,20.24
2012-05-01 13:00:00+00:00,2012-05-01 14:00:00+00:00,HB_NORTH,23.03
2012-05-01 14:00:00+00:00,2012-05-01 15:00:00+00:00,HB_NORTH,25.34
2012-05-01 15:00:00+00:00,2012-05-01 16:00:00+00:00,HB_NORTH,35.24
2012-05-01 16:00:00+00:00,2012-05-01 17:00:00+00:00,HB_NORTH,60.98
2012-05-01 17:00:00+00:00,2012-05-01 18:00:00+00:00,HB_NORTH,32.7
2012-05-01 18:00:00+00:00,2012-05-01 19:00:00+00:00,HB_NORTH,26.21
2012-05-01 19:00:00+00:00,2012-05-01 20:00:00+00:00,HB_NORTH,23.89
2012-05-01 20:00:00+00:00,2012-05-01 21:00:00+00:00,HB_NORTH,24.88
2012-05-01 21:00:00+00:00,2012-05-01 22:00:00+00:00,HB_NORTH,22.55
2012-05-01 22:00:00+00:00,2012-05-01 23:00:00+00:00,HB_NORTH,19.83
2012-05-01 23:00:00+00:00,2012-05-02 00:00:00+00:00,HB_NORTH,17.34
2012-05-02 00:00:00+00:00,2012-05-02 01:00:00+00:00,HB_NORTH,16.11
2012-05-02 01:00:00+00:00,2012-05-02 02:00:00+00:00,HB_NORTH,14.06
2012-05-02 02:00:00+00:00,2012-05-02 03:00:00+00:00,HB_NORTH,13.72
2012-05-02 03:00:00+00:00,2012-05-02 04:00:00+00:00,HB_NORTH,12.78
2012-05-02 04:00:00+00:00,2012-05-02 05:00:00+00:00,HB_NORTH,14.0
2012-05-02 05:00:00+00:00,2012-05-02 06:00:00+00:00,HB_NORTH,15.18
2012-05-02 06:00:00+00:00,2012-05-02 07:00:00+00:00,HB_NORTH,16.44
2012-05-02 07:00:00+00:00,2012-05-02 08:00:00+00:00,HB_NORTH,17.31
2012-05-02 08:00:00+00:00,2012-05-02 09:00:00+00:00,HB_NORTH,18.24
2012-05-02 09:00:00+00:00,2012-05-02 10:00:00+00:00,HB_NORTH,20.0
2012-05-02 10:00:00+00:00,2012-05-02 11:00:00+00:00,HB_NORTH,20.58
2012-05-02 11:00:00+00:00,2012-05-02 12:00:00+00:00,HB_NORTH,21.65
2012-05-02 12:00:00+00:00,2012-05-02 13:00:00+00:00,HB_NORTH,23.16
2012-05-02 13:00:00+00:00,2012-05-02 14:00:00+00:00,HB_NORTH,25.7
2012-05-02 14:00:00+00:00,2012-05-02 15:00:00+00:00,HB_NORTH,29.42
2012-05-02 15:00:00+00:00,2012-05-02 16:00:00+00:00,HB_NORTH,39.75
2012-05-02 16:00:00+00:00,2012-05-02 17:00:00+00:00,HB_NORTH,65.18
2012-05-02 17:00:00+00:00,2012-05-02 18:00:00+00:00,HB_NORTH,34.95
2012-05-02 18:00:00+00:00,2012-05-02 19:00:00+00:00,HB_NORTH,27.87
2012-05-02 19:00:00+00:00,2012-05-02 20:00:00+00:00,HB_NORTH,25.37
2012-05-02 20:00:00+00:00,2012-05-02 21:00:00+00:00,HB_NORTH,26.43
2012-05-02 21:00:00+00:00,2012-05-02 22:00:00+00:00,HB_NORTH,23.08
2012-05-02 22:00:00+00:00,2012-05-02 23:00:00+00:00,HB_NORTH,19.88
2012-05-02 23:00:00+00:00,2012-05-03 00:00:00+00:00,HB_NORTH,16.11
2012-05-03 00:00:00+00:00,2012-05-03 01:00:00+00:00,HB_NORTH,16.18
2012-05-03 01:00:00+00:00,2012-05-03 02:00:00+00:00,HB_NORTH,14.46
2012-05-03 02:00:00+00:00,2012-05-03 03:00:00+00:00,HB_NORTH,14.03
2012-05-03 03:00:00+00:00,2012-05-03 04:00:00+00:00,HB_NORTH,13.38
2012-05-03 04:00:00+00:00,2012-05-03 05:00:00+00:00,HB_NORTH,13.17
2012-05-03 05:00:00+00:00,2012-05-03 06:00:00+00:00,HB_NORTH,15.2
2012-05-03 06:00:00+00:00,2012-05-03 07:00:00+00:00,HB_NORTH,17.0
2012-05-03 07:00:00+00:00,2012-05-03 08:00:00+00:00,HB_NORTH,17.42
2012-05-03 08:00:00+00:00,2012-05-03 09:00:00+00:00,HB_NORTH,18.73
2012-05-03 09:00:00+00:00,2012-05-03 10:00:00+00:00,HB_NORTH,19.88
2012-05-03 10:00:00+00:00,2012-05-03 11:00:00+00:00,HB_NORTH,20.39
2012-05-03 11:00:00+00:00,2012-05-03 12:00:00+00:00,HB_NORTH,21.52
2012-05-03 12:00:00+00:00,2012-05-03 13:00:00+00:00,HB_NORTH,22.67
2012-05-03 13:00:00+00:00,2012-05-03 14:00:00+00:00,HB_NORTH,24.52
2012-05-03 14:00:00+00:00,2012-05-03 15:00:00+00:00,HB_NORTH,28.22
2012-05-03 15:00:00+00:00,2012-05-03 16:00:00+00:00,HB_NORTH,46.99
2012-05-03 16:00:00+00:00,2012-05-03 17:00:00+00:00,HB_NORTH,99.71
2012-05-03 17:00:00+00:00,2012-05-03 18:00:00+00:00,HB_NORTH,45.62
2012-05-03 18:00:00+00:00,2012-05-03 19:00:00+00:00,HB_NORTH,27.32
2012-05-03 19:00:00+00:00,2012-05-03 20:00:00+00:00,HB_NORTH,24.46
2012-05-03 20:00:00+00:00,2012-05-03 21:00:00+00:00,HB_NORTH,25.01
2012-05-03 21:00:00+00:00,2012-05-03 22:00:00+00:00,HB_NORTH,21.79
2012-05-03 22:00:00+00:00,2012-05-03 23:00:00+00:00,HB_NORTH,20.13
