interval_start_utc,interval_end_utc,location,lmp_dam
2012-10-01 00:00:00+00:00,2012-10-01 01:00:00+00:00,HB_NORTH,21.0
2012-10-01 01:00:00+00:00,2012-10-01 02:00:00+00:00,HB_NORTH,19.15
2012-10-01 02:00:00+00:00,2012-10-01 03:00:00+00:00,HB_NORTH,18.65
2012-10-01 03:00:00+00:00,2012-10-01 04:00:00+00:00,HB_NORTH,18.55
2012-10-01 04:00:00+00:00,2012-10-01 05:00:00+00:00,HB_NORTH,18.71
2012-10-01 05:00:00+00:00,2012-10-01 06:00:00+00:00,HB_NORTH,20.29
2012-10-01 06:00:00+00:00,2012-10-01 07:00:00+00:00,HB_NORTH,24.0
2012-10-01 07:00:00+00:00,2012-10-01 08:00:00+00:00,HB_NORTH,25.3
2012-10-01 08:00:00+00:00,2012-10-01 09:00:00+00:00,HB_NORTH,25.25
2012-10-01 09:00:00+00:00,2012-10-01 10:00:00+00:00,HB_NORTH,25.38
2012-10-01 10:00:00+00:00,2012-10-01 11:00:00+00:00,HB_NORTH,24.48
2012-10-01 11:00:00+00:00,2012-10-01 12:00:00+00:00,HB_NORTH,25.11
2012-10-01 12:00:00+00:00,2012-10-01 13:00:00+00:00,HB_NORTH,27.14
2012-10-01 13:00:00+00:00,2012-10-01 14:00:00+00:00,HB_NORTH,28.72
2012-10-01 14:00:00+00:00,2012-10-01 15:00:00+00:00,HB_NORTH,30.0
2012-10-01 15:00:00+00:00,2012-10-01 16:00:00+00:00,HB_NORTH,37.81
2012-10-01 16:00:00+00:00,2012-10-01 17:00:00+00:00,HB_NORTH,41.35
2012-10-01 17:00:00+00:00,2012-10-01 18:00:00+00:00,HB_NORTH,34.45
2012-10-01 18:00:00+00:00,2012-10-01 19:00:00+00:00,HB_NORTH,29.14
2012-10-01 19:00:00+00:00,2012-10-01 20:00:00+00:00,HB_NORTH,28.16
2012-10-01 20:00:00+00:00,2012-10-01 21:00:00+00:00,HB_NORTH,27.5
2012-10-01 21:00:00+00:00,2012-10-01 22:00:00+00:00,HB_NORTH,25.37
2012-10-01 22:00:00+00:00,2012-10-01 23:00:00+00:00,HB_NORTH,25.59
2012-10-01 23:00:00+00:00,2012-10-02 00:00:00+00:00,HB_NORTH,22.71
2012-10-02 00:00:00+00:00,2012-10-02 01:00:00+00:00,HB_NORTH,18.27
2012-10-02 01:00:00+00:00,2012-10-02 02:00:00+00:00,HB_NORTH,17.09
2012-10-02 02:00:00+00:00,2012-10-02 03:00:00+00:00,HB_NORTH,16.11
2012-10-02 03:00:00+00:00,2012-10-02 04:00:00+00:00,HB_NORTH,16.05
2012-10-02 04:00:00+00:00,2012-10-02 05:00:00+00:00,HB_NORTH,16.94
2012-10-02 05:00:00+00:00,2012-10-02 06:00:00+00:00,HB_NORTH,19.25
2012-10-02 06:00:00+00:00,2012-10-02 07:00:00+00:00,HB_NORTH,23.6
2012-10-02 07:00:00+00:00,2012-10-02 08:00:00+00:00,HB_NORTH,24.25
2012-10-02 08:00:00+00:00,2012-10-02 09:00:00+00:00,HB_NORTH,25.47
2012-10-02 09:00:00+00:00,2012-10-02 10:00:00+00:00,HB_NORTH,26.24
2012-10-02 10:00:00+00:00,2012-10-02 11:00:00+00:00,HB_NORTH,24.11
2012-10-02 11:00:00+00:00,2012-10-02 12:00:00+00:00,HB_NORTH,25.93
2012-10-02 12:00:00+00:00,2012-10-02 13:00:00+00:00,HB_NORTH,27.25
2012-10-02 13:00:00+00:00,2012-10-02 14:00:00+00:00,HB_NORTH,28.0
2012-10-02 14:00:00+00:00,2012-10-02 15:00:00+00:00,HB_NORTH,29.89
2012-10-02 15:00:00+00:00,2012-10-02 16:00:00+00:00,HB_NORTH,37.68
2012-10-02 16:00:00+00:00,2012-10-02 17:00:00+00:00,HB_NORTH,41.69
2012-10-02 17:00:00+00:00,2012-10-02 18:00:00+00:00,HB_NORTH,35.0
2012-10-02 18:00:00+00:00,2012-10-02 19:00:00+00:00,HB_NORTH,29.0
2012-10-02 19:00:00+00:00,2012-10-02 20:00:00+00:00,HB_NORTH,28.07
2012-10-02 20:00:00+00:00,2012-10-02 21:00:00+00:00,HB_NORTH,26.43
2012-10-02 21:00:00+00:00,2012-10-02 22:00:00+00:00,HB_NORTH,25.26
2012-10-02 22:00:00+00:00,2012-10-02 23:00:00+00:00,HB_NORTH,24.48
