interval_start_utc,interval_end_utc,location,lmp_dam
2012-09-01 00:00:00+00:00,2012-09-01 01:00:00+00:00,HB_NORTH,19.51
2012-09-01 01:00:00+00:00,2012-09-01 02:00:00+00:00,HB_NORTH,18.96
2012-09-01 02:00:00+00:00,2012-09-01 03:00:00+00:00,HB_NORTH,17.65
2012-09-01 03:00:00+00:00,2012-09-01 04:00:00+00:00,HB_NORTH,17.0
2012-09-01 04:00:00+00:00,2012-09-01 05:00:00+00:00,HB_NORTH,16.47
2012-09-01 05:00:00+00:00,2012-09-01 06:00:00+00:00,HB_NORTH,16.93
2012-09-01 06:00:00+00:00,2012-09-01 07:00:00+00:00,HB_NORTH,18.47
2012-09-01 07:00:00+00:00,2012-09-01 08:00:00+00:00,HB_NORTH,18.62
2012-09-01 08:00:00+00:00,2012-09-01 09:00:00+00:00,HB_NORTH,19.72
2012-09-01 09:00:00+00:00,2012-09-01 10:00:00+00:00,HB_NORTH,21.95
2012-09-01 10:00:00+00:00,2012-09-01 11:00:00+00:00,HB_NORTH,23.68
2012-09-01 11:00:00+00:00,2012-09-01 12:00:00+00:00,HB_NORTH,26.72
2012-09-01 12:00:00+00:00,2012-09-01 13:00:00+00:00,HB_NORTH,29.59
2012-09-01 13:00:00+00:00,2012-09-01 14:00:00+00:00,HB_NORTH,32.5
2012-09-01 14:00:00+00:00,2012-09-01 15:00:00+00:00,HB_NORTH,35.51
2012-09-01 15:00:00+00:00,2012-09-01 16:00:00+00:00,HB_NORTH,42.39
2012-09-01 16:00:00+00:00,2012-09-01 17:00:00+00:00,HB_NORTH,53.48
2012-09-01 17:00:00+00:00,2012-09-01 18:00:00+00:00,HB_NORTH,38.06
2012-09-01 18:00:00+00:00,2012-09-01 19:00:00+00:00,HB_NORTH,29.93
2012-09-01 19:00:00+00:00,2012-09-01 20:00:00+00:00,HB_NORTH,29.82
2012-09-01 20:00:00+00:00,2012-09-01 21:00:00+00:00,HB_NORTH,29.99
2012-09-01 21:00:00+00:00,2012-09-01 22:00:00+00:00,HB_NORTH,26.65
2012-09-01 22:00:00+00:00,2012-09-01 23:00:00+00:00,HB_NORTH,21.37
2012-09-01 23:00:00+00:00,2012-09-02 00:00:00+00:00,HB_NORTH,20.89
2012-09-02 00:00:00+00:00,2012-09-02 01:00:00+00:00,HB_NORTH,20.14
